time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1717862016.71623564,0.00801016,9772,0.00113396,0.00000000,0,0.00000000,46415,46552,423,0.00155784
1717862016.81843019,0.00695019,9785,0.00082195,0.00000000,0,0.00000000,46552,46723,361,0.00112633
1717862016.91999865,0.00869454,9912,0.00114629,0.00000000,0,0.00000000,46723,46830,435,0.00094770
1717862017.02019715,0.00896195,9942,0.00084919,0.00000000,0,0.00000000,46830,47003,382,0.00147463
1717862017.12172079,0.00818592,9785,0.00072465,0.00000000,0,0.00000000,47003,47201,360,0.00157595
1717862017.22324443,0.00859833,9790,0.00092330,0.00000000,0,0.00000000,47201,47306,357,0.00117444
1717862017.32343674,0.00762344,9821,0.00064804,0.00000000,0,0.00000000,47306,47424,293,0.00135775
1717862017.42499971,0.00832749,9879,0.00076110,0.00000000,0,0.00000000,47424,47601,345,0.00174742
1717862017.52720523,0.00864085,9902,0.00091430,0.00000000,0,0.00000000,47601,47709,331,0.00091148
1717862017.62734842,0.00818632,9796,0.00078265,0.00000000,0,0.00000000,47709,47886,334,0.00111148
1717862017.72890186,0.00731282,9932,0.00071503,0.00000000,0,0.00000000,47886,47987,290,0.00093165
1717862017.83114004,0.00825237,9922,0.00066116,0.00000000,0,0.00000000,47987,48082,278,0.00098165
1717862017.93132114,0.00945778,9892,0.00087212,0.00000000,0,0.00000000,48082,48112,258,0.00126561
1717862018.03284383,0.00811954,9964,0.00078168,0.00000000,0,0.00000000,48112,48266,320,0.00148280
